nmf_component_id,top_keywords,keyword_weights
0,"paragraph, mean, suggests, question, answered, students, words, purpose, way, reader","3.0061, 1.0407, 0.4591, 0.3124, 0.2973, 0.1679, 0.1380, 0.1376, 0.1148, 0.1141"
1,"likely, would, wrote, julia, reason, wants, future, based, benjamin, hotel","2.6884, 0.2123, 0.1789, 0.1557, 0.1506, 0.1466, 0.1429, 0.1348, 0.0989, 0.0866"
2,"sentence, read, meaning, example, language, opinion, used, contains, states, fact","1.9282, 0.7937, 0.2366, 0.2031, 0.1879, 0.1819, 0.1617, 0.1609, 0.1324, 0.1271"
3,"story, theme, end, important, conflict, narrator, setting, title, charlie, part","2.4674, 0.5277, 0.3723, 0.2846, 0.2722, 0.1337, 0.1303, 0.1265, 0.0990, 0.0973"
4,"word, means, root, synonym, used, comes, read, entry, paragraph, meaning","2.4008, 1.3490, 0.4246, 0.2700, 0.2630, 0.2499, 0.2327, 0.2049, 0.1944, 0.1741"
5,"article, based, reader, according, sea, determine, tell, may, first, opinion","1.4107, 0.9769, 0.4697, 0.4111, 0.2003, 0.1987, 0.1632, 0.1630, 0.1207, 0.1079"
6,"idea, main, supports, conflict, people, section, paragraph, states, space, article","1.4809, 1.3243, 0.2261, 0.1751, 0.1740, 0.1355, 0.1232, 0.1139, 0.0936, 0.0797"
7,"poem, speaker, lines, question, answered, based, narrator, first, theme, line","1.5841, 0.8970, 0.6881, 0.2866, 0.2370, 0.1471, 0.1265, 0.1176, 0.1170, 0.0938"
8,"best, would, summary, selection, heading, described, section, may, information, statement","1.8052, 0.6084, 0.4678, 0.3447, 0.3234, 0.3067, 0.2365, 0.2314, 0.2017, 0.1778"
9,"author, includes, include, information, paragraphs, use, purpose, uses, wrote, selection","1.9583, 0.3470, 0.3283, 0.3088, 0.2392, 0.2391, 0.2121, 0.2045, 0.1814, 0.1781"
