qid,test_id,source_file,type,question_text,word_count,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Look at the graphed function shown. Based on the zeros, which best represents the graphed function?",10,7,0.9203708,0.6244184970855713,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.0114|6:0.0114|7:0.9204
2,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Travis would like to buy some toys to donate to charity. He plans to buy 9 dolls at d dollars each, 2 toy cars at c dollars each, and 3 train sets at t dollars each. Which expression represents the total cost, in dollars, of these items that Travis wants to buy?",26,0,0.9675656,0.29751157760620117,0:0.9676|1:0.0046|2:0.0046|3:0.0046|4:0.0046|5:0.0046|6:0.0046|7:0.0046
3,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which expression is equivalent to 18 c 8 d 9 9 c 3 d 6 ? Assume the denominator does not equal zero.,6,2,0.8749525,0.8947507739067078,0:0.0179|1:0.0179|2:0.8750|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
4,math_algebra1_2014,math-algebra1-2014.js,multiple-select,Identify each expression that is a factor of this polynomial. 4 x 2 - 2 x - 2,4,2,0.8248151,1.1612353324890137,0:0.0250|1:0.0250|2:0.8248|3:0.0250|4:0.0250|5:0.0251|6:0.0250|7:0.0250
5,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at this key. Which model correctly represents the product of ( x + 3 ) and ( x + 4 ) ?,6,0,0.55785024,1.6210649013519287,0:0.5579|1:0.3349|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
6,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is 18 written in simplest radical form?,4,2,0.8249591,1.1605091094970703,0:0.0250|1:0.0250|2:0.8250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
7,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which binomial is a factor of c 2 - 12 c + 32 ?,2,5,0.7082597,1.6899771690368652,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.7083|6:0.0417|7:0.0417
8,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the value of this expression when x = 2 3 ? x 2 + 3 x - 2,2,5,0.707951,1.6912384033203125,0:0.0417|1:0.0417|2:0.0417|3:0.0418|4:0.0417|5:0.7080|6:0.0417|7:0.0417
9,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which expression is equivalent to ( 3 x -4 ) 2 ( 5 x -2 ) ?,2,3,0.70804477,1.6908555030822754,0:0.0417|1:0.0417|2:0.0418|3:0.7080|4:0.0417|5:0.0418|6:0.0417|7:0.0417
10,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which polynomial is equivalent to 18 n 2 - 9 n + 1 3 n - 1 ? Assume the divisor is not equal to zero.,6,2,0.87496185,0.894697904586792,0:0.0179|1:0.0179|2:0.8750|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
11,math_algebra1_2014,math-algebra1-2014.js,free-response,What is the value of this expression when a = 64 and b = - 5 ? - 2 a 3 + b 2,2,5,0.7079454,1.6912610530853271,0:0.0417|1:0.0417|2:0.0417|3:0.0418|4:0.0417|5:0.7079|6:0.0417|7:0.0417
12,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"When n > 0 , which expression is equivalent to 42 n 9 in simplest form?",4,2,0.8249161,1.1607258319854736,0:0.0250|1:0.0250|2:0.8249|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
13,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at the system of equations. y = - x + 2 7 x + 4 y = - 1 What is the value of x for the solution to this system of equations?,7,1,0.89053994,0.8055787086486816,0:0.0156|1:0.8905|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
14,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Pierre solved an inequality as shown. Step 1: - 8 ≥ n + 3 Step 2: - 8 + ( - 3 ) ≥ n + 3 + ( - 3 ) Step 3: - 11 ≥ n + 0 Step 4: - 11 ≥ n What property justifies the work between Step 3 and Step 4?,13,5,0.93746346,0.5129950046539307,0:0.0089|1:0.0089|2:0.0089|3:0.0089|4:0.0089|5:0.9375|6:0.0089|7:0.0089
15,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which property of real numbers justifies the work shown? 13 x - 1 = ( 12 x + 15 ) + 7 x 13 x - 1 = 7 x + ( 12 x + 15 ),6,6,0.8748611,0.8952636122703552,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8749|7:0.0179
16,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the slope of the line represented by 1 8 x + 3 y = 3 ?,3,4,0.78107387,1.3728053569793701,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.7811|5:0.0313|6:0.0313|7:0.0313
17,math_algebra1_2014,math-algebra1-2014.js,free-response,Solve for x: - 2 x + 6 x - 6,1,0,0.5624057,2.2172164916992188,0:0.5624|1:0.0625|2:0.0625|3:0.0625|4:0.0625|5:0.0625|6:0.0625|7:0.0626
