qid,test_id,source_file,type,question_text,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Look at the graphed function shown. Based on the zeros, which best represents the graphed function?",7,0.7346570897609771,1.5796134095753664,0:0.0379|1:0.0379|2:0.0379|3:0.0379|4:0.0381|5:0.0379|6:0.0379|7:0.7347
2,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Travis would like to buy some toys to donate to charity. He plans to buy 9 dolls at d dollars each, 2 toy cars at c dollars each, and 3 train sets at t dollars each. Which expression represents the total cost, in dollars, of these items that Travis wants to buy?",7,0.49649322237751653,2.255429615682269,0:0.0486|1:0.0486|2:0.0519|3:0.0486|4:0.0488|5:0.2084|6:0.0487|7:0.4965
3,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which expression is equivalent to 18 c 8 d 9 9 c 3 d 6 ? Assume the denominator does not equal zero.,5,0.6403820943678723,1.9331939909021654,0:0.0447|1:0.0447|2:0.0447|3:0.0448|4:0.0453|5:0.6404|6:0.0476|7:0.0879
4,math_algebra1_2014,math-algebra1-2014.js,multiple-select,Identify each expression that is a factor of this polynomial. 4 x 2 - 2 x - 2,5,0.3883935839058803,2.4676696240786624,0:0.0570|1:0.0570|2:0.0617|3:0.0570|4:0.0581|5:0.3884|6:0.0579|7:0.2630
5,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at this key. Which model correctly represents the product of ( x + 3 ) and ( x + 4 ) ?,7,0.3698852135571733,2.290607071543578,0:0.0459|1:0.0459|2:0.0459|3:0.3529|4:0.0461|5:0.0473|6:0.0460|7:0.3699
6,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is 18 written in simplest radical form?,6,0.3738782717454604,2.655668675214799,0:0.0730|1:0.0730|2:0.0731|3:0.0741|4:0.0756|5:0.1737|6:0.3739|7:0.0835
7,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which binomial is a factor of c 2 - 12 c + 32 ?,4,0.22937440580247825,2.8866319966475826,0:0.0927|1:0.0927|2:0.0929|3:0.0929|4:0.2294|5:0.0967|6:0.2013|7:0.1014
8,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the value of this expression when x = 2 3 ? x 2 + 3 x - 2,5,0.3978931129421168,2.197127795390959,0:0.0406|1:0.0406|2:0.3548|3:0.0410|4:0.0416|5:0.3979|6:0.0410|7:0.0424
9,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which expression is equivalent to ( 3 x -4 ) 2 ( 5 x -2 ) ?,5,0.7278085800832661,1.6087183026777065,0:0.0386|1:0.0386|2:0.0395|3:0.0388|4:0.0389|5:0.7278|6:0.0388|7:0.0389
10,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which polynomial is equivalent to 18 n 2 - 9 n + 1 3 n - 1 ? Assume the divisor is not equal to zero.,5,0.5294332184636812,2.2587402697338796,0:0.0538|1:0.0538|2:0.0539|3:0.0539|4:0.0543|5:0.5294|6:0.0561|7:0.1447
11,math_algebra1_2014,math-algebra1-2014.js,free-response,What is the value of this expression when a = 64 and b = - 5 ? - 2 a 3 + b 2,5,0.3978931129421168,2.197127795390959,0:0.0406|1:0.0406|2:0.3548|3:0.0410|4:0.0416|5:0.3979|6:0.0410|7:0.0424
12,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"When n > 0 , which expression is equivalent to 42 n 9 in simplest form?",5,0.5827291227781506,2.058442114323971,0:0.0436|1:0.0436|2:0.0436|3:0.0441|4:0.0446|5:0.5827|6:0.1532|7:0.0445
13,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at the system of equations. y = - x + 2 7 x + 4 y = - 1 What is the value of x for the solution to this system of equations?,6,0.4742172270248522,2.348376231663501,0:0.0543|1:0.0543|2:0.0551|3:0.0545|4:0.1977|5:0.0550|6:0.4742|7:0.0547
14,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Pierre solved an inequality as shown. Step 1: - 8 ≥ n + 3 Step 2: - 8 + ( - 3 ) ≥ n + 3 + ( - 3 ) Step 3: - 11 ≥ n + 0 Step 4: - 11 ≥ n What property justifies the work between Step 3 and Step 4?,4,0.6431783497250755,1.9376792858624687,0:0.0482|1:0.0482|2:0.0482|3:0.0482|4:0.6432|5:0.0483|6:0.0673|7:0.0486
15,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which property of real numbers justifies the work shown? 13 x - 1 = ( 12 x + 15 ) + 7 x 13 x - 1 = 7 x + ( 12 x + 15 ),4,0.6775060642540327,1.8114409083311107,0:0.0447|1:0.0447|2:0.0447|3:0.0447|4:0.6775|5:0.0449|6:0.0536|7:0.0453
16,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the slope of the line represented by 1 8 x + 3 y = 3 ?,7,0.7382509712414489,1.5641958980938075,0:0.0373|1:0.0373|2:0.0373|3:0.0375|4:0.0374|5:0.0375|6:0.0373|7:0.7383
17,math_algebra1_2014,math-algebra1-2014.js,free-response,Solve for x: - 2 x + 6 x - 6,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
18,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which graph best models y ≤ 2 7 x - 2 ?,7,0.7039509686683452,1.7075209551508836,0:0.0422|1:0.0422|2:0.0422|3:0.0424|4:0.0423|5:0.0425|6:0.0423|7:0.7040
19,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which inequality represents all the solutions of 9 ( 4 x - 8 ) 4 ( 6 x + 9 ) ?,7,0.5816763195574904,2.1550424469671894,0:0.0596|1:0.0596|2:0.0596|3:0.0596|4:0.0597|5:0.0598|6:0.0604|7:0.5817
20,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"A total of 243 adults and children are at a movie theater. There are 109 more adults than children in the theater. If a represents the number of adults and b represents the number of children, which system of equations could be used to find the number of adults and the number of children in the theater?",7,0.8168809892448836,1.2009326121679211,0:0.0261|1:0.0261|2:0.0261|3:0.0261|4:0.0262|5:0.0262|6:0.0262|7:0.8169
21,math_algebra1_2014,math-algebra1-2014.js,multiple-select,"A system of inequalities is shown. y > 1 2 x + 1 y + 3 x ≤ 6 From the given points, select each point that is a solution to this system of inequalities.",4,0.6048161006569256,1.9074328492855308,0:0.0351|1:0.0351|2:0.0351|3:0.0351|4:0.6048|5:0.0353|6:0.1842|7:0.0352
22,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The graph of line n is shown. Which number is closest in value to the slope of line n?,7,0.6196438084099022,1.80011069621496,0:0.0233|1:0.0233|2:0.0790|3:0.0234|4:0.1846|5:0.0234|6:0.0234|7:0.6196
23,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"The formula shown can be used to find A, the amount of money Raul has in his savings account. A = P + P r t Raul wants to find r, the rate of interest his money earns. Which equation is correctly solved for r?",4,0.6854418120478416,1.781437100444324,0:0.0448|1:0.0448|2:0.0448|3:0.0448|4:0.6854|5:0.0449|6:0.0453|7:0.0452
24,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What are the real roots of x 2 - 7 x + 10 = 0 ?,7,0.31246233139459445,2.8243366888752885,0:0.0954|1:0.0954|2:0.0955|3:0.0955|4:0.0957|5:0.0970|6:0.1130|7:0.3125
25,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,A data set with an even number of data points is ordered from least to greatest. The middle two data points are represented by x₁ and x₂. This formula can be used to find the median of the data set. m = x 1 + x 2 2 Which shows this formula solved for x₁?,7,0.8240988844228573,1.1648431990709938,0:0.0251|1:0.0251|2:0.0253|3:0.0251|4:0.0251|5:0.0252|6:0.0251|7:0.8241
26,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Which equation represents the horizontal line passing through (7, 5)?",7,0.8038173717548484,1.2649815511417266,0:0.0280|1:0.0280|2:0.0280|3:0.0280|4:0.0280|5:0.0280|6:0.0281|7:0.8038
27,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The graph of y = x 2 - 2 x - 8 is shown. What are the solutions to x 2 - 2 x - 8 = 0 ?,4,0.4461148314442155,2.05661293055703,0:0.0346|1:0.0346|2:0.0346|3:0.0346|4:0.4461|5:0.0346|6:0.0347|7:0.3463
28,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What value of p will make this equation true? 6 p + 4 6 = 4 p - 8 3,6,0.7336780893092446,1.5826832187249262,0:0.0362|1:0.0362|2:0.0366|3:0.0369|4:0.0389|5:0.0365|6:0.7337|7:0.0450
29,math_algebra1_2014,math-algebra1-2014.js,free-response,What is the slope of the line represented by this equation? 3 x + 5 y = - 7,7,0.7746609948449856,1.402403410579928,0:0.0321|1:0.0321|2:0.0322|3:0.0322|4:0.0322|5:0.0323|6:0.0322|7:0.7747
30,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"The length, l, of a rectangle is 3 times its width. The perimeter of the rectangle is greater than 48 centimeters. Which inequality expresses all the possible lengths, in centimeters, of the rectangle?",4,0.6407614287618283,1.9500490377189232,0:0.0499|1:0.0499|2:0.0531|3:0.0499|4:0.6408|5:0.0500|6:0.0563|7:0.0501
