qid,test_id,source_file,type,question_text,word_count,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"In paragraph 1, the words ""rumbled,"" ""buzzed,"" and ""exploded"" evoke images of-",7,1,0.8904097,0.8063376545906067,0:0.0157|1:0.8904|2:0.0156|3:0.0157|4:0.0157|5:0.0157|6:0.0156|7:0.0156
2,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The details in paragraph 2 support the idea that Benjamin is -,5,3,0.64322424,1.5968255996704102,0:0.0209|1:0.0208|2:0.0208|3:0.6432|4:0.2317|5:0.0208|6:0.0209|7:0.0208
3,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Read this sentence from paragraph 4. He swung wide around an anonymous heap of metal being swallowed by a greedy mound of blackberry brambles and came to an abrupt halt. The sentence contains an example of--,20,7,0.9583158,0.3669843375682831,0:0.0060|1:0.0060|2:0.0060|3:0.0060|4:0.0060|5:0.0060|6:0.0060|7:0.9583
4,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-select,"In this excerpt from paragraph 7, select the words that best reveal Benjamin's attempt to gain the artist's trust. Craning his head to the side to get another peek at it, he answered politely enough, ""My name's Benjamin, and I live up on Hendricks Avenue,"" waving his hand vaguely at the steep hill behind him. ... Then Benjamin blushed and apologized.",34,6,0.9749852,0.23896470665931702,0:0.0036|1:0.0036|2:0.0036|3:0.0036|4:0.0036|5:0.0036|6:0.9750|7:0.0036
5,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which situation in the selection is an example of irony?,4,4,0.8245928,1.162355899810791,0:0.0250|1:0.0251|2:0.0250|3:0.0250|4:0.8246|5:0.0251|6:0.0251|7:0.0250
6,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"According to paragraph 3, the main difference between Super Stadiums and regular stadiums is that Super Stadiums -",10,3,0.92040986,0.6241711378097534,0:0.0114|1:0.0114|2:0.0114|3:0.9204|4:0.0114|5:0.0114|6:0.0114|7:0.0114
7,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"In paragraph 6, which word best describes the author's attitude about Super Stadium projects?",9,0,0.9124346,0.6741183996200562,0:0.9124|1:0.0125|2:0.0125|3:0.0125|4:0.0125|5:0.0125|6:0.0125|7:0.0125
8,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"According to paragraph 7, in the future, sports fans will-",5,1,0.596646,1.6569654941558838,0:0.0209|1:0.5966|2:0.0209|3:0.0209|4:0.0209|5:0.0209|6:0.2782|7:0.0209
9,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which sentence from this selection would be most difficult to verify as a fact?,6,1,0.8747984,0.8956155776977539,0:0.0179|1:0.8748|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
10,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Based on the selection, the reader may best infer that new building materials -",9,7,0.8357882,1.0021376609802246,0:0.0125|1:0.0126|2:0.0890|3:0.0125|4:0.0125|5:0.0126|6:0.0125|7:0.8358
11,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which information about the selection would be best to include in a report about the popularity of spectator sports?,9,1,0.91239,0.6743937730789185,0:0.0125|1:0.9124|2:0.0125|3:0.0125|4:0.0125|5:0.0125|6:0.0125|7:0.0125
12,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The purpose of this selection is to--,2,5,0.708175,1.6903235912322998,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.7082|6:0.0417|7:0.0417
