nmf_component_id,top_keywords,keyword_weights
0,"water, students, correct, point, placed, used, light, different, form, investigation","2.4298, 0.4726, 0.2356, 0.2101, 0.1980, 0.1715, 0.1554, 0.1502, 0.1288, 0.1178"
1,"best, students, use, describes, help, identify, many, shown, four, student","1.6819, 0.1937, 0.1235, 0.1126, 0.0613, 0.0583, 0.0562, 0.0553, 0.0421, 0.0417"
2,"likely, would, form, result, used, earth, produced, food, shown, point","1.5856, 0.5070, 0.2474, 0.2240, 0.1408, 0.1245, 0.1076, 0.0500, 0.0417, 0.0375"
3,"student, investigation, different, used, made, help, recorded, would, time, virginia","1.7028, 0.6299, 0.4732, 0.3052, 0.2547, 0.2488, 0.2331, 0.2310, 0.2154, 0.2013"
4,"using, result, made, found, students, data, produced, use, cause, many","1.4985, 0.5316, 0.3413, 0.2064, 0.1881, 0.1555, 0.1463, 0.1295, 0.1071, 0.0876"
5,"table, based, data, information, found, students, investigation, characteristic, recorded, order","2.4949, 1.0723, 0.2064, 0.2041, 0.1323, 0.1001, 0.0993, 0.0927, 0.0904, 0.0865"
6,"energy, point, use, correct, earth, represents, food, based, group, organisms","1.5189, 0.2878, 0.2110, 0.0987, 0.0867, 0.0843, 0.0805, 0.0463, 0.0106, 0.0104"
7,"process, shown, data, rock, represents, correct, cause, ocean, substance, identify","1.0494, 0.8698, 0.4985, 0.3074, 0.2839, 0.2795, 0.2332, 0.2317, 0.2308, 0.1711"
8,"scientists, organisms, order, first, time, data, within, information, identify, cause","1.4789, 0.2970, 0.2276, 0.1971, 0.1834, 0.1662, 0.1521, 0.1377, 0.0267, 0.0221"
9,"organism, organisms, first, made, information, result, based, food, correct, identify","1.4555, 0.4535, 0.3897, 0.2137, 0.1832, 0.1673, 0.1671, 0.1432, 0.0815, 0.0522"
10,"type, chemical, reaction, two, moles, solution, many, form, information, rock","0.7444, 0.6101, 0.6060, 0.3185, 0.3109, 0.3019, 0.2657, 0.1899, 0.1837, 0.1648"
11,"characteristic, common, four, within, plant, process, point, order, diagram, volume","1.1393, 0.9601, 0.2929, 0.1215, 0.0297, 0.0284, 0.0252, 0.0243, 0.0190, 0.0183"
12,"correctly, describes, placed, order, different, process, represents, students, group, food","1.0274, 0.9491, 0.2014, 0.0568, 0.0511, 0.0406, 0.0376, 0.0192, 0.0011, 0.0000"
13,"plant, cell, order, light, food, group, shown, two, investigation, recorded","1.0988, 0.8567, 0.3274, 0.1993, 0.1546, 0.1239, 0.1150, 0.0632, 0.0558, 0.0450"
14,"air, earth, help, data, many, within, based, placed, first, diagram","1.1861, 0.8557, 0.2523, 0.1029, 0.0957, 0.0849, 0.0783, 0.0683, 0.0614, 0.0488"
