source_file,test_id,qid,type,clean_text,raw_text
reading-endofcourse-2015.js,reading_endofcourse_2015,1,multiple-choice,"In paragraph 1, the words ""rumbled,"" ""buzzed,"" and ""exploded"" evoke images of-","In paragraph 1, the words ""rumbled,"" ""buzzed,"" and ""exploded"" evoke images of-"
reading-endofcourse-2015.js,reading_endofcourse_2015,2,multiple-choice,The details in paragraph 2 support the idea that Benjamin is -,The details in paragraph 2 support the idea that Benjamin is -
reading-endofcourse-2015.js,reading_endofcourse_2015,3,multiple-choice,Read this sentence from paragraph 4. He swung wide around an anonymous heap of metal being swallowed by a greedy mound of blackberry brambles and came to an abrupt halt. The sentence contains an example of--,"Read this sentence from paragraph 4. <div class=""passage-innerbox"">He swung wide around an anonymous heap of metal being swallowed by a greedy mound of blackberry brambles and came to an abrupt halt.</div> The sentence contains an example of--"
reading-endofcourse-2015.js,reading_endofcourse_2015,4,multiple-select,"In this excerpt from paragraph 7, select the words that best reveal Benjamin's attempt to gain the artist's trust. Craning his head to the side to get another peek at it, he answered politely enough, ""My name's Benjamin, and I live up on Hendricks Avenue,"" waving his hand vaguely at the steep hill behind him. ... Then Benjamin blushed and apologized.","In this excerpt from paragraph 7, select the words that best reveal Benjamin's attempt to gain the artist's trust. <div class= ""passage-innerbox"">Craning his head to the side to get another peek at it, he answered politely enough, ""My name's Benjamin, and I live up on Hendricks Avenue,"" waving his hand vaguely at the steep hill behind him. ... Then Benjamin blushed and apologized.</div>"
reading-endofcourse-2015.js,reading_endofcourse_2015,5,multiple-choice,Which situation in the selection is an example of irony?,Which situation in the selection is an example of irony?
reading-endofcourse-2015.js,reading_endofcourse_2015,6,multiple-choice,"According to paragraph 3, the main difference between Super Stadiums and regular stadiums is that Super Stadiums -","According to paragraph 3, the main difference between Super Stadiums and regular stadiums is that Super Stadiums -"
reading-endofcourse-2015.js,reading_endofcourse_2015,7,multiple-choice,"In paragraph 6, which word best describes the author's attitude about Super Stadium projects?","In paragraph 6, which word best describes the author's attitude about Super Stadium projects?"
reading-endofcourse-2015.js,reading_endofcourse_2015,8,multiple-choice,"According to paragraph 7, in the future, sports fans will-","According to paragraph 7, in the future, sports fans will-"
reading-endofcourse-2015.js,reading_endofcourse_2015,9,multiple-choice,Which sentence from this selection would be most difficult to verify as a fact?,Which sentence from this selection would be most difficult to verify as a fact?
reading-endofcourse-2015.js,reading_endofcourse_2015,10,multiple-choice,"Based on the selection, the reader may best infer that new building materials -","Based on the selection, the reader may best infer that new building materials -"
