qid,test_id,source_file,type,question_text,word_count,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,science_biology_2015,science-biology-2015.js,multiple-choice,Red flower color is dominant to white flower color in rose plants. What is the expected result of a cross between two heterozygous rose plants?,16,5,0.94850403,0.43728572130203247,0:0.0074|1:0.0074|2:0.0074|3:0.0074|4:0.0074|5:0.9485|6:0.0074|7:0.0074
2,science_biology_2015,science-biology-2015.js,drag-drop,Place the phases of mitosis in the correct sequence.,5,0,0.85413444,1.0088930130004883,0:0.8541|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.0208|6:0.0208|7:0.0208
3,science_biology_2015,science-biology-2015.js,multiple-choice,"To classify an organism a scientist finds in the field, which of these will the scientist first compare to other known organisms?",10,4,0.9204136,0.6241475939750671,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.9204|5:0.0114|6:0.0114|7:0.0114
4,science_biology_2015,science-biology-2015.js,multiple-choice,"For the growth curve to continue increasing, which of these must occur?",6,2,0.87496334,0.8946895599365234,0:0.0179|1:0.0179|2:0.8750|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
5,science_biology_2015,science-biology-2015.js,multiple-choice,What did Rosalind Franklin contribute to the understanding of DNA molecules?,6,4,0.8749429,0.8948043584823608,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.8749|5:0.0179|6:0.0179|7:0.0179
6,science_biology_2015,science-biology-2015.js,drag-drop,Some functions of several structures of a fish are listed in the chart. Complete the chart by placing the structures of a cell next to the function they perform.,14,7,0.94165325,0.48464691638946533,0:0.0083|1:0.0083|2:0.0083|3:0.0083|4:0.0083|5:0.0083|6:0.0083|7:0.9417
7,science_biology_2015,science-biology-2015.js,multiple-choice,Darwin's explanation for evolution was dependent on which scientific concept?,6,1,0.8749656,0.8946771621704102,0:0.0179|1:0.8750|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
8,science_biology_2015,science-biology-2015.js,multiple-choice,Which best helps scientists determine the age of fossils?,6,6,0.8748701,0.8952128291130066,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8749|7:0.0179
9,science_biology_2015,science-biology-2015.js,multiple-choice,"A student is investigating the effect of plants on indoor air quality and states, ""If plants are added to an indoor environment, the air quality will improve."" This statement is an example of —",17,3,0.9513683,0.4170830249786377,0:0.0069|1:0.0069|2:0.0069|3:0.9514|4:0.0069|5:0.0070|6:0.0069|7:0.0069
10,science_biology_2015,science-biology-2015.js,multiple-choice,"Although controversial at first, the germ theory of disease proposed that microorganisms were the cause of many diseases. Which of these was a result of the general acceptance that microorganisms cause disease?",17,4,0.9513759,0.4170287847518921,0:0.0069|1:0.0069|2:0.0069|3:0.0069|4:0.9514|5:0.0069|6:0.0069|7:0.0069
11,science_biology_2015,science-biology-2015.js,multiple-choice,A biologist gathered data to show the interaction of the golden-cheeked warbler and juniper tree populations. Which conclusion did the biologist most likely make from the data shown?,16,4,0.94850785,0.43725958466529846,0:0.0074|1:0.0074|2:0.0074|3:0.0074|4:0.9485|5:0.0074|6:0.0074|7:0.0074
12,science_biology_2015,science-biology-2015.js,multiple-choice,Studying the differences between fossils and modern organisms helps scientists better understand the —,9,3,0.91243255,0.6741303205490112,0:0.0125|1:0.0125|2:0.0125|3:0.9124|4:0.0125|5:0.0125|6:0.0125|7:0.0125
13,science_biology_2015,science-biology-2015.js,multiple-choice,"This chart shows observations made of an unknown organism. Based on this information, the organism most likely belongs to the kingdom —",12,1,0.93262595,0.5451894402503967,0:0.0096|1:0.9326|2:0.0096|3:0.0096|4:0.0096|5:0.0096|6:0.0096|7:0.0096
14,science_biology_2015,science-biology-2015.js,multiple-choice,What can be concluded from this graph?,2,0,0.70828056,1.6898925304412842,0:0.7083|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0417
15,science_biology_2015,science-biology-2015.js,multiple-choice,Which statement is an inference based on this information?,4,3,0.8247371,1.1616287231445312,0:0.0251|1:0.0250|2:0.0250|3:0.8247|4:0.0250|5:0.0251|6:0.0250|7:0.0250
16,science_biology_2015,science-biology-2015.js,multiple-choice,The weakness of hydrogen bonds between the bases of DNA allows —,6,1,0.8749337,0.8948558568954468,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
17,science_biology_2015,science-biology-2015.js,multiple-choice,Which of these would most likely result in a change to the current classification of an organism?,7,6,0.62625307,1.500077247619629,0:0.0156|1:0.0157|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.6263|7:0.2799
18,science_biology_2015,science-biology-2015.js,multiple-select,Select the autotrophs.,2,2,0.70831615,1.6897467374801636,0:0.0417|1:0.0417|2:0.7083|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0417
19,science_biology_2015,science-biology-2015.js,multiple-choice,Five species of frogs that live in separate habitats within 5 non-overlapping ranges along the Mississippi River share a common ancestor. Which process is most likely responsible for the formation of these five distinct species?,22,2,0.9619405,0.34016937017440796,0:0.0054|1:0.0054|2:0.9619|3:0.0054|4:0.0054|5:0.0054|6:0.0054|7:0.0054
20,science_biology_2015,science-biology-2015.js,multiple-choice,Chloroplast process X + H₂O → Y + O₂ The diagram shown represents the input and output of a process performed by the chloroplast of a cell. Which substance is most likely represented by Y?,15,7,0.9452752,0.45977047085762024,0:0.0078|1:0.0078|2:0.0078|3:0.0078|4:0.0078|5:0.0078|6:0.0078|7:0.9453
21,science_biology_2015,science-biology-2015.js,multiple-choice,Which statement best describes her hypothesis?,4,6,0.82493526,1.1606295108795166,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.8249|7:0.0250
22,science_biology_2015,science-biology-2015.js,multiple-choice,Seaweeds occupy an important niche in the Chesapeake Bay ecosystem. Which question will best help a student identify the role of seaweeds in this ecosystem?,15,5,0.9452908,0.45966222882270813,0:0.0078|1:0.0078|2:0.0078|3:0.0078|4:0.0078|5:0.9453|6:0.0078|7:0.0078
23,science_biology_2015,science-biology-2015.js,multiple-choice,"In 1950, Erwin Chargaff discovered that the percentage of adenine in DNA equals the percentage of thymine, and that the percentage of cytosine equals the percentage of guanine. This proved invaluable to the eventual discovery of which aspect of DNA?",20,2,0.95833,0.36688026785850525,0:0.0060|1:0.0060|2:0.9583|3:0.0060|4:0.0060|5:0.0060|6:0.0060|7:0.0060
24,science_biology_2015,science-biology-2015.js,multiple-choice,"The study of embryos and other early stages of development can help in the classification of living things, past and present, by providing clues about the —",13,6,0.9374869,0.5128377676010132,0:0.0089|1:0.0089|2:0.0089|3:0.0089|4:0.0089|5:0.0089|6:0.9375|7:0.0089
25,science_biology_2015,science-biology-2015.js,drag-drop,Complete the sentences about water molecules by dragging the correct terms to each box.,8,0,0.9027371,0.7333104014396667,0:0.9027|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.0139|6:0.0139|7:0.0139
26,science_biology_2015,science-biology-2015.js,multiple-choice,Which characteristic do most adult fungi and plants share?,5,6,0.85409886,1.0090835094451904,0:0.0208|1:0.0208|2:0.0208|3:0.0209|4:0.0208|5:0.0208|6:0.8541|7:0.0208
27,science_biology_2015,science-biology-2015.js,multiple-choice,"Students use a dissolved oxygen probe during a laboratory activity involving 1,000 mL samples of pond water. The function of the probe is to —",13,6,0.9374238,0.5132611989974976,0:0.0089|1:0.0089|2:0.0089|3:0.0089|4:0.0089|5:0.0089|6:0.9374|7:0.0089
28,science_biology_2015,science-biology-2015.js,free-response,"In a population of 120 oak trees, 25% of the population has oak wilt disease. What is the number of trees in this population that have oak wilt?",12,3,0.9326807,0.5448281764984131,0:0.0096|1:0.0096|2:0.0096|3:0.9327|4:0.0096|5:0.0096|6:0.0096|7:0.0096
29,science_biology_2015,science-biology-2015.js,multiple-choice,"An insect called the hemlock woolly adelgid was introduced to a Virginia forest ecosystem. This pest feeds on the nutrients stored inside a hemlock tree, resulting in the death of the tree. Which kind of data would best help a student evaluate the effect of this insect?",28,1,0.9698143,0.2800637483596802,0:0.0043|1:0.9698|2:0.0043|3:0.0043|4:0.0043|5:0.0043|6:0.0043|7:0.0043
30,science_biology_2015,science-biology-2015.js,multiple-choice,A student wanted to compare the transpiration rates of two different plant species at varying levels of humidity. The results are recorded in the table shown. Each plant group was given the same amount of water and light throughout the investigation. Which procedure should have been performed to prevent error in this investigation?,29,5,0.9708143,0.2722266912460327,0:0.0042|1:0.0042|2:0.0042|3:0.0042|4:0.0042|5:0.9708|6:0.0042|7:0.0042
31,science_biology_2015,science-biology-2015.js,multiple-choice,"In an ecosystem, a sudden decrease in the number of bacteria in the soil would most likely result in —",9,7,0.91245127,0.6740148067474365,0:0.0125|1:0.0125|2:0.0125|3:0.0125|4:0.0125|5:0.0125|6:0.0125|7:0.9125
32,science_biology_2015,science-biology-2015.js,multiple-choice,"Medicines are being produced using recombinant DNA technology. For veterinarians, the use of this DNA technology will result in —",11,6,0.9270585,0.5815788507461548,0:0.0104|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.0104|6:0.9271|7:0.0104
33,science_biology_2015,science-biology-2015.js,multiple-choice,The arrow in the diagram represents the movement of which molecular structure?,6,7,0.8749477,0.8947774767875671,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.8749
34,science_biology_2015,science-biology-2015.js,multiple-choice,"According to the classification key, what is the genus and species of this organism?",6,1,0.8749276,0.8948906660079956,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
35,science_biology_2015,science-biology-2015.js,multiple-choice,The jackrabbit is a desert mammal. The jackrabbit's circulatory system increases blood flow to the ears during hot days. The blood flow to the ears decreases during cool or cold nights. This circulation pattern is most directly related to —,23,0,0.9635335,0.3282241225242615,0:0.9635|1:0.0052|2:0.0052|3:0.0052|4:0.0052|5:0.0052|6:0.0052|7:0.0052
36,science_biology_2015,science-biology-2015.js,multiple-choice,Proteins are among the most diverse group of macromolecules because of the —,5,7,0.854148,1.0088202953338623,0:0.0208|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.0208|6:0.0208|7:0.8541
37,science_biology_2015,science-biology-2015.js,multiple-choice,Which is an activity that increases the genetic variation within a population of earthworms?,7,3,0.8905745,0.8053768873214722,0:0.0156|1:0.0156|2:0.0156|3:0.8906|4:0.0156|5:0.0156|6:0.0156|7:0.0156
38,science_biology_2015,science-biology-2015.js,multiple-choice,The structural differences between a tadpole and an adult frog are due to the —,6,6,0.8749637,0.8946876525878906,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8750|7:0.0179
