qid,test_id,source_file,type,question_text,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,science_biology_2015,science-biology-2015.js,multiple-choice,Red flower color is dominant to white flower color in rose plants. What is the expected result of a cross between two heterozygous rose plants?,7,0.6453997963029676,1.933428907845304,0:0.0516|1:0.0500|2:0.0535|3:0.0502|4:0.0497|5:0.0497|6:0.0498|7:0.6454
2,science_biology_2015,science-biology-2015.js,drag-drop,Place the phases of mitosis in the correct sequence.,3,0.3080760078994177,2.7650062225425414,0:0.0750|1:0.1733|2:0.1435|3:0.3081|4:0.0747|5:0.0749|6:0.0753|7:0.0751
3,science_biology_2015,science-biology-2015.js,multiple-choice,"To classify an organism a scientist finds in the field, which of these will the scientist first compare to other known organisms?",2,0.6046889758390859,2.043855538318512,0:0.0450|1:0.1054|2:0.6047|3:0.0454|4:0.0450|5:0.0450|6:0.0646|7:0.0450
4,science_biology_2015,science-biology-2015.js,multiple-choice,"For the growth curve to continue increasing, which of these must occur?",0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
5,science_biology_2015,science-biology-2015.js,multiple-choice,What did Rosalind Franklin contribute to the understanding of DNA molecules?,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
6,science_biology_2015,science-biology-2015.js,drag-drop,Some functions of several structures of a fish are listed in the chart. Complete the chart by placing the structures of a cell next to the function they perform.,3,0.3359737513816737,2.6494391664281984,0:0.0709|1:0.0720|2:0.2367|3:0.3360|4:0.0706|5:0.0710|6:0.0719|7:0.0709
7,science_biology_2015,science-biology-2015.js,multiple-choice,Darwin's explanation for evolution was dependent on which scientific concept?,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
8,science_biology_2015,science-biology-2015.js,multiple-choice,Which best helps scientists determine the age of fossils?,1,0.5064815357231635,2.0781312270479466,0:0.0382|1:0.5065|2:0.0378|3:0.0378|4:0.0376|5:0.2664|6:0.0379|7:0.0377
9,science_biology_2015,science-biology-2015.js,multiple-choice,"A student is investigating the effect of plants on indoor air quality and states, ""If plants are added to an indoor environment, the air quality will improve."" This statement is an example of —",6,0.6473702639034251,1.9263461155043797,0:0.0508|1:0.0504|2:0.0505|3:0.0503|4:0.0502|5:0.0501|6:0.6474|7:0.0502
10,science_biology_2015,science-biology-2015.js,multiple-choice,"Although controversial at first, the germ theory of disease proposed that microorganisms were the cause of many diseases. Which of these was a result of the general acceptance that microorganisms cause disease?",7,0.4240574299606004,2.4784430301545233,0:0.0577|1:0.0571|2:0.0590|3:0.2040|4:0.0573|5:0.0566|6:0.0842|7:0.4241
11,science_biology_2015,science-biology-2015.js,multiple-choice,A biologist gathered data to show the interaction of the golden-cheeked warbler and juniper tree populations. Which conclusion did the biologist most likely make from the data shown?,3,0.44200411607060314,2.3482588312276995,0:0.2075|1:0.1410|2:0.0405|3:0.4420|4:0.0416|5:0.0406|6:0.0455|7:0.0412
12,science_biology_2015,science-biology-2015.js,multiple-choice,Studying the differences between fossils and modern organisms helps scientists better understand the —,1,0.5999367269716921,2.03210303018369,0:0.0449|1:0.5999|2:0.1306|3:0.0449|4:0.0448|5:0.0449|6:0.0452|7:0.0448
13,science_biology_2015,science-biology-2015.js,multiple-choice,"This chart shows observations made of an unknown organism. Based on this information, the organism most likely belongs to the kingdom —",2,0.5128745353677032,2.1458652385992814,0:0.2289|1:0.0380|2:0.5129|3:0.0380|4:0.0375|5:0.0379|6:0.0454|7:0.0613
14,science_biology_2015,science-biology-2015.js,multiple-choice,What can be concluded from this graph?,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
15,science_biology_2015,science-biology-2015.js,multiple-choice,Which statement is an inference based on this information?,2,0.23883725903809327,2.7198310855310925,0:0.2124|1:0.0516|2:0.2388|3:0.0513|4:0.0507|5:0.0513|6:0.1764|7:0.1675
16,science_biology_2015,science-biology-2015.js,multiple-choice,The weakness of hydrogen bonds between the bases of DNA allows —,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
17,science_biology_2015,science-biology-2015.js,multiple-choice,Which of these would most likely result in a change to the current classification of an organism?,2,0.33406390979805406,2.3538820475655386,0:0.1964|1:0.0349|2:0.3341|3:0.0348|4:0.0345|5:0.0348|6:0.0355|7:0.2950
18,science_biology_2015,science-biology-2015.js,multiple-select,Select the autotrophs.,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
