nmf_component_id,top_keywords,keyword_weights
0,"water, students, correct, placed, point, used, light, different, form, investigation","2.2616, 0.4461, 0.2222, 0.2004, 0.1957, 0.1610, 0.1513, 0.1455, 0.1377, 0.1126"
1,"best, describes, students, air, earth, use, help, organism, many, shown","1.5703, 0.2453, 0.1748, 0.1194, 0.1156, 0.1047, 0.0970, 0.0749, 0.0656, 0.0632"
2,"likely, would, result, form, earth, organism, used, produced, shown, food","1.4924, 0.4854, 0.2239, 0.2222, 0.1720, 0.1437, 0.1295, 0.0960, 0.0773, 0.0535"
3,"student, investigation, different, used, help, made, would, recorded, time, virginia","1.4603, 0.5374, 0.4045, 0.2556, 0.2492, 0.2262, 0.2051, 0.2027, 0.1792, 0.1754"
4,"using, result, made, found, moles, data, students, many, use, produced","1.3412, 0.5079, 0.3248, 0.1927, 0.1810, 0.1669, 0.1649, 0.1557, 0.1537, 0.1530"
5,"table, based, data, information, found, solution, students, shown, investigation, recorded","1.9587, 0.9064, 0.2317, 0.2130, 0.1013, 0.0895, 0.0850, 0.0773, 0.0695, 0.0671"
6,"energy, point, use, earth, correct, represents, food, based, solution, shown","1.5066, 0.2830, 0.2150, 0.1430, 0.1005, 0.0879, 0.0736, 0.0536, 0.0205, 0.0106"
7,"process, type, shown, reaction, rock, chemical, represents, correct, correctly, describes","0.7501, 0.5238, 0.5231, 0.5111, 0.3510, 0.3447, 0.3298, 0.2018, 0.1807, 0.1781"
8,"scientists, organisms, first, earth, air, data, order, within, time, information","1.1658, 0.4934, 0.3579, 0.3308, 0.3020, 0.2018, 0.1779, 0.1734, 0.1618, 0.1223"
9,"characteristic, common, plant, four, order, cell, organism, light, within, group","0.9787, 0.7132, 0.5690, 0.2282, 0.2081, 0.1890, 0.1504, 0.0779, 0.0623, 0.0622"
