source_file,test_id,qid,type,clean_text,raw_text
math-algebra1-2014.js,math_algebra1_2014,1,multiple-choice,"Look at the graphed function shown. Based on the zeros, which best represents the graphed function?","Look at the graphed function shown.<br><img src=""images/question_1.png"" class=""question-image"" alt=""Graph showing a parabola""><br>Based on the zeros, which best represents the graphed function?"
math-algebra1-2014.js,math_algebra1_2014,2,multiple-choice,"Travis would like to buy some toys to donate to charity. He plans to buy 9 dolls at d dollars each, 2 toy cars at c dollars each, and 3 train sets at t dollars each. Which expression represents the total cost, in dollars, of these items that Travis wants to buy?","Travis would like to buy some toys to donate to charity. He plans to buy 9 dolls at d dollars each, 2 toy cars at c dollars each, and 3 train sets at t dollars each. Which expression represents the total cost, in dollars, of these items that Travis wants to buy?"
math-algebra1-2014.js,math_algebra1_2014,3,multiple-choice,Which expression is equivalent to 18 c 8 d 9 9 c 3 d 6 ? Assume the denominator does not equal zero.,Which expression is equivalent to <math><mfrac><mrow><mn>18</mn><msup><mi>c</mi><mn>8</mn></msup><msup><mi>d</mi><mn>9</mn></msup></mrow><mrow><mn>9</mn><msup><mi>c</mi><mn>3</mn></msup><msup><mi>d</mi><mn>6</mn></msup></mrow></mfrac></math>? Assume the denominator does not equal zero.
math-algebra1-2014.js,math_algebra1_2014,4,multiple-select,Identify each expression that is a factor of this polynomial. 4 x 2 - 2 x - 2,Identify each expression that is a factor of this polynomial.<br><math><mn>4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mi>x</mi><mo>-</mo><mn>2</mn></math>
math-algebra1-2014.js,math_algebra1_2014,5,multiple-choice,Look at this key. Which model correctly represents the product of ( x + 3 ) and ( x + 4 ) ?,"Look at this key.<br><img src=""images/question_5.png"" class=""question-image"" alt=""Key showing squares for x², rectangles for x, and unit squares""><br>Which model correctly represents the product of <math><mo>(</mo><mi>x</mi><mo>+</mo><mn>3</mn><mo>)</mo></math> and <math><mo>(</mo><mi>x</mi><mo>+</mo><mn>4</mn><mo>)</mo></math>?"
math-algebra1-2014.js,math_algebra1_2014,6,multiple-choice,What is 18 written in simplest radical form?,What is <math><msqrt><mn>18</mn></msqrt></math> written in simplest radical form?
math-algebra1-2014.js,math_algebra1_2014,7,multiple-choice,Which binomial is a factor of c 2 - 12 c + 32 ?,Which binomial is a factor of <math><msup><mi>c</mi><mn>2</mn></msup><mo>-</mo><mn>12</mn><mi>c</mi><mo>+</mo><mn>32</mn></math>?
math-algebra1-2014.js,math_algebra1_2014,8,multiple-choice,What is the value of this expression when x = 2 3 ? x 2 + 3 x - 2,What is the value of this expression when <math><mi>x</mi><mo>=</mo><mfrac><mn>2</mn><mn>3</mn></mfrac></math>?<br><br><math><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>3</mn><mi>x</mi><mo>-</mo><mn>2</mn></math>
math-algebra1-2014.js,math_algebra1_2014,9,multiple-choice,Which expression is equivalent to ( 3 x -4 ) 2 ( 5 x -2 ) ?,Which expression is equivalent to <math><msup><mrow><mo>(</mo><mn>3</mn><msup><mi>x</mi><mn>-4</mn></msup><mo>)</mo></mrow><mn>2</mn></msup><mo>(</mo><mn>5</mn><msup><mi>x</mi><mn>-2</mn></msup><mo>)</mo></math>?
math-algebra1-2014.js,math_algebra1_2014,10,multiple-choice,Which polynomial is equivalent to 18 n 2 - 9 n + 1 3 n - 1 ? Assume the divisor is not equal to zero.,Which polynomial is equivalent to <math><mfrac><mrow><mn>18</mn><msup><mi>n</mi><mn>2</mn></msup><mo>-</mo><mn>9</mn><mi>n</mi><mo>+</mo><mn>1</mn></mrow><mrow><mn>3</mn><mi>n</mi><mo>-</mo><mn>1</mn></mrow></mfrac></math>? Assume the divisor is not equal to zero.
math-algebra1-2014.js,math_algebra1_2014,11,free-response,What is the value of this expression when a = 64 and b = - 5 ? - 2 a 3 + b 2,What is the value of this expression when <math><mi>a</mi><mo>=</mo><mn>64</mn></math> and <math><mi>b</mi><mo>=</mo><mo>-</mo><mn>5</mn></math>?<br><br><math><mo>-</mo><mn>2</mn><mroot><mi>a</mi><mn>3</mn></mroot><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup></math>
math-algebra1-2014.js,math_algebra1_2014,12,multiple-choice,"When n > 0 , which expression is equivalent to 42 n 9 in simplest form?","When <math><mi>n</mi><mo>></mo><mn>0</mn></math>, which expression is equivalent to <math><msqrt><mn>42</mn><msup><mi>n</mi><mn>9</mn></msup></msqrt></math> in simplest form?"
math-algebra1-2014.js,math_algebra1_2014,13,multiple-choice,Look at the system of equations. y = - x + 2 7 x + 4 y = - 1 What is the value of x for the solution to this system of equations?,Look at the system of equations.<br><br><math><mi>y</mi><mo>=</mo><mo>-</mo><mi>x</mi><mo>+</mo><mn>2</mn></math><br><math><mn>7</mn><mi>x</mi><mo>+</mo><mn>4</mn><mi>y</mi><mo>=</mo><mo>-</mo><mn>1</mn></math><br><br>What is the value of x for the solution to this system of equations?
math-algebra1-2014.js,math_algebra1_2014,14,multiple-choice,Pierre solved an inequality as shown. Step 1: - 8 ≥ n + 3 Step 2: - 8 + ( - 3 ) ≥ n + 3 + ( - 3 ) Step 3: - 11 ≥ n + 0 Step 4: - 11 ≥ n What property justifies the work between Step 3 and Step 4?,Pierre solved an inequality as shown.<br><br>Step 1: <math><mo>-</mo><mn>8</mn><mo>≥</mo><mi>n</mi><mo>+</mo><mn>3</mn></math><br>Step 2: <math><mo>-</mo><mn>8</mn><mo>+</mo><mo>(</mo><mo>-</mo><mn>3</mn><mo>)</mo><mo>≥</mo><mi>n</mi><mo>+</mo><mn>3</mn><mo>+</mo><mo>(</mo><mo>-</mo><mn>3</mn><mo>)</mo></math><br>Step 3: <math><mo>-</mo><mn>11</mn><mo>≥</mo><mi>n</mi><mo>+</mo><mn>0</mn></math><br>Step 4: <math><mo>-</mo><mn>11</mn><mo>≥</mo><mi>n</mi></math><br><br>What property justifies the work between Step 3 and Step 4?
math-algebra1-2014.js,math_algebra1_2014,15,multiple-choice,Which property of real numbers justifies the work shown? 13 x - 1 = ( 12 x + 15 ) + 7 x 13 x - 1 = 7 x + ( 12 x + 15 ),Which property of real numbers justifies the work shown?<br><br><math><mn>13</mn><mi>x</mi><mo>-</mo><mn>1</mn><mo>=</mo><mo>(</mo><mn>12</mn><mi>x</mi><mo>+</mo><mn>15</mn><mo>)</mo><mo>+</mo><mn>7</mn><mi>x</mi></math><br><math><mn>13</mn><mi>x</mi><mo>-</mo><mn>1</mn><mo>=</mo><mn>7</mn><mi>x</mi><mo>+</mo><mo>(</mo><mn>12</mn><mi>x</mi><mo>+</mo><mn>15</mn><mo>)</mo></math>
math-algebra1-2014.js,math_algebra1_2014,16,multiple-choice,What is the slope of the line represented by 1 8 x + 3 y = 3 ?,What is the slope of the line represented by <math><mfrac><mn>1</mn><mn>8</mn></mfrac><mi>x</mi><mo>+</mo><mn>3</mn><mi>y</mi><mo>=</mo><mn>3</mn></math>?
math-algebra1-2014.js,math_algebra1_2014,17,free-response,Solve for x: - 2 x + 6 x - 6,Solve for x:<br><br><math><mo>-</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>6</mn><mo><</mo><mi>x</mi><mo>-</mo><mn>6</mn></math>
math-algebra1-2014.js,math_algebra1_2014,18,multiple-choice,Which graph best models y ≤ 2 7 x - 2 ?,Which graph best models <math><mi>y</mi><mo>≤</mo><mfrac><mn>2</mn><mn>7</mn></mfrac><mi>x</mi><mo>-</mo><mn>2</mn></math>?
math-algebra1-2014.js,math_algebra1_2014,19,multiple-choice,Which inequality represents all the solutions of 9 ( 4 x - 8 ) 4 ( 6 x + 9 ) ?,Which inequality represents all the solutions of <math><mn>9</mn><mo>(</mo><mn>4</mn><mi>x</mi><mo>-</mo><mn>8</mn><mo>)</mo><mo><</mo><mn>4</mn><mo>(</mo><mn>6</mn><mi>x</mi><mo>+</mo><mn>9</mn><mo>)</mo></math>?
math-algebra1-2014.js,math_algebra1_2014,20,multiple-choice,"A total of 243 adults and children are at a movie theater. There are 109 more adults than children in the theater. If a represents the number of adults and b represents the number of children, which system of equations could be used to find the number of adults and the number of children in the theater?","A total of 243 adults and children are at a movie theater. There are 109 more adults than children in the theater. If a represents the number of adults and b represents the number of children, which system of equations could be used to find the number of adults and the number of children in the theater?"
math-algebra1-2014.js,math_algebra1_2014,21,multiple-select,"A system of inequalities is shown. y > 1 2 x + 1 y + 3 x ≤ 6 From the given points, select each point that is a solution to this system of inequalities.","A system of inequalities is shown.<br><br><math><mi>y</mi><mo>></mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>x</mi><mo>+</mo><mn>1</mn></math><br><math><mi>y</mi><mo>+</mo><mn>3</mn><mi>x</mi><mo>≤</mo><mn>6</mn></math><br><br>From the given points, select each point that is a solution to this system of inequalities."
math-algebra1-2014.js,math_algebra1_2014,22,multiple-choice,The graph of line n is shown. Which number is closest in value to the slope of line n?,"The graph of line n is shown.<br><img src=""images/question_22.png"" class=""question-image"" alt=""Graph showing line n""><br>Which number is closest in value to the slope of line n?"
math-algebra1-2014.js,math_algebra1_2014,23,multiple-choice,"The formula shown can be used to find A, the amount of money Raul has in his savings account. A = P + P r t Raul wants to find r, the rate of interest his money earns. Which equation is correctly solved for r?","The formula shown can be used to find A, the amount of money Raul has in his savings account.<br><br><math><mi>A</mi><mo>=</mo><mi>P</mi><mo>+</mo><mi>P</mi><mi>r</mi><mi>t</mi></math><br><br>Raul wants to find r, the rate of interest his money earns. Which equation is correctly solved for r?"
math-algebra1-2014.js,math_algebra1_2014,24,multiple-choice,What are the real roots of x 2 - 7 x + 10 = 0 ?,What are the real roots of <math><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>7</mn><mi>x</mi><mo>+</mo><mn>10</mn><mo>=</mo><mn>0</mn></math>?
math-algebra1-2014.js,math_algebra1_2014,25,multiple-choice,A data set with an even number of data points is ordered from least to greatest. The middle two data points are represented by x₁ and x₂. This formula can be used to find the median of the data set. m = x 1 + x 2 2 Which shows this formula solved for x₁?,A data set with an even number of data points is ordered from least to greatest. The middle two data points are represented by x₁ and x₂. This formula can be used to find the median of the data set.<br><br><math><mi>m</mi><mo>=</mo><mfrac><mrow><msub><mi>x</mi><mn>1</mn></msub><mo>+</mo><msub><mi>x</mi><mn>2</mn></msub></mrow><mn>2</mn></mfrac></math><br><br>Which shows this formula solved for x₁?
math-algebra1-2014.js,math_algebra1_2014,26,multiple-choice,"Which equation represents the horizontal line passing through (7, 5)?","Which equation represents the horizontal line passing through (7, 5)?"
math-algebra1-2014.js,math_algebra1_2014,27,multiple-choice,The graph of y = x 2 - 2 x - 8 is shown. What are the solutions to x 2 - 2 x - 8 = 0 ?,"The graph of <math><mi>y</mi><mo>=</mo><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mi>x</mi><mo>-</mo><mn>8</mn></math> is shown.<br><img src=""images/question_27.png"" class=""question-image"" alt=""Graph of parabola""><br>What are the solutions to <math><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mi>x</mi><mo>-</mo><mn>8</mn><mo>=</mo><mn>0</mn></math>?"
math-algebra1-2014.js,math_algebra1_2014,28,multiple-choice,What value of p will make this equation true? 6 p + 4 6 = 4 p - 8 3,What value of p will make this equation true?<br><br><math><mfrac><mrow><mn>6</mn><mi>p</mi><mo>+</mo><mn>4</mn></mrow><mn>6</mn></mfrac><mo>=</mo><mfrac><mrow><mn>4</mn><mi>p</mi><mo>-</mo><mn>8</mn></mrow><mn>3</mn></mfrac></math>
math-algebra1-2014.js,math_algebra1_2014,29,free-response,What is the slope of the line represented by this equation? 3 x + 5 y = - 7,What is the slope of the line represented by this equation?<br><br><math><mn>3</mn><mi>x</mi><mo>+</mo><mn>5</mn><mi>y</mi><mo>=</mo><mo>-</mo><mn>7</mn></math>
math-algebra1-2014.js,math_algebra1_2014,30,multiple-choice,"The length, l, of a rectangle is 3 times its width. The perimeter of the rectangle is greater than 48 centimeters. Which inequality expresses all the possible lengths, in centimeters, of the rectangle?","The length, l, of a rectangle is 3 times its width. The perimeter of the rectangle is greater than 48 centimeters. Which inequality expresses all the possible lengths, in centimeters, of the rectangle?"
math-algebra1-2014.js,math_algebra1_2014,31,multiple-choice,"These box-and-whisker plots summarize the percent of the workforce employed in agriculture, industry, and service jobs in twenty towns. Which statement is NOT true?","These box-and-whisker plots summarize the percent of the workforce employed in agriculture, industry, and service jobs in twenty towns.<br><img src=""images/question_31.png"" class=""question-image"" alt=""Box plots for workforce distribution""><br><br>Which statement is NOT true?"
math-algebra1-2014.js,math_algebra1_2014,32,multiple-select,"Using the ordered pairs shown, create a relation containing three ordered pairs with a domain of {-1, 2, 4}.","Using the ordered pairs shown, create a relation containing three ordered pairs with a domain of {-1, 2, 4}."
math-algebra1-2014.js,math_algebra1_2014,33,multiple-choice,"This relation is an inverse variation. {(-1, 8), (4, -2), (-2, 4)} Which equation represents this relation?","This relation is an inverse variation.<br><br>{(-1, 8), (4, -2), (-2, 4)}<br><br>Which equation represents this relation?"
math-algebra1-2014.js,math_algebra1_2014,34,multiple-choice,Which equation represents the pattern shown in the table?,"Which equation represents the pattern shown in the table?<br><img src=""images/question_34.png"" class=""question-image"" alt=""Table showing x and y values"">"
math-algebra1-2014.js,math_algebra1_2014,35,multiple-choice,The graph of the equation representing a direct variation passes through point A. Locate one additional point that is on the graph of this equation.,"The graph of the equation representing a direct variation passes through point A. Locate one additional point that is on the graph of this equation.<br><img src=""images/question_35.png"" class=""question-image"" alt=""Coordinate grid with point A"">"
math-algebra1-2014.js,math_algebra1_2014,36,multiple-choice,Look at the data in this table. Which equation most closely represents the line of best fit for this data?,"Look at the data in this table.<br><img src=""images/question_36.png"" class=""question-image"" alt=""Data table""><br>Which equation most closely represents the line of best fit for this data?"
math-algebra1-2014.js,math_algebra1_2014,37,multiple-choice,What is the range of this relation?,"What is the range of this relation?<br><img src=""images/question_37.png"" class=""question-image"" alt=""Graph showing discrete points"">"
