qid,test_id,source_file,type,question_text,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Look at the graphed function shown. Based on the zeros, which best represents the graphed function?",2,0.3262655958911303,2.7995475747577476,0:0.0930|1:0.0930|2:0.3263|3:0.1150|4:0.0930|5:0.0936|6:0.0931|7:0.0930
2,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Travis would like to buy some toys to donate to charity. He plans to buy 9 dolls at d dollars each, 2 toy cars at c dollars each, and 3 train sets at t dollars each. Which expression represents the total cost, in dollars, of these items that Travis wants to buy?",1,0.1857723522416679,2.9702188548631936,0:0.1207|1:0.1858|2:0.1048|3:0.1040|4:0.1040|5:0.1365|6:0.1364|7:0.1077
3,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which expression is equivalent to 18 c 8 d 9 9 c 3 d 6 ? Assume the denominator does not equal zero.,1,0.3436270710627344,2.770707198974428,0:0.0922|1:0.3436|2:0.0951|3:0.0922|4:0.0922|5:0.0922|6:0.0977|7:0.0947
4,math_algebra1_2014,math-algebra1-2014.js,multiple-select,Identify each expression that is a factor of this polynomial. 4 x 2 - 2 x - 2,1,0.23245774038905467,2.9360120193071517,0:0.1041|1:0.2325|2:0.1180|3:0.1098|4:0.1143|5:0.1041|6:0.1090|7:0.1083
5,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at this key. Which model correctly represents the product of ( x + 3 ) and ( x + 4 ) ?,5,0.17148051476167048,2.980528860354017,0:0.1116|1:0.1139|2:0.1120|3:0.1490|4:0.1116|5:0.1715|6:0.1185|7:0.1118
6,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is 18 written in simplest radical form?,1,0.1609887623203233,2.991397840257575,0:0.1168|1:0.1610|2:0.1289|3:0.1168|4:0.1205|5:0.1168|6:0.1209|7:0.1184
7,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which binomial is a factor of c 2 - 12 c + 32 ?,4,0.13206165335778378,2.9992808666328403,0:0.1214|1:0.1254|2:0.1214|3:0.1276|4:0.1321|5:0.1214|6:0.1292|7:0.1214
8,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the value of this expression when x = 2 3 ? x 2 + 3 x - 2,7,0.30096186116337514,2.750434824297832,0:0.0800|1:0.2189|2:0.0800|3:0.0800|4:0.0800|5:0.0800|6:0.0800|7:0.3010
9,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which expression is equivalent to ( 3 x -4 ) 2 ( 5 x -2 ) ?,1,0.39778845226499165,2.66025968798023,0:0.0859|1:0.3978|2:0.0859|3:0.0859|4:0.0859|5:0.0859|6:0.0859|7:0.0867
10,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which polynomial is equivalent to 18 n 2 - 9 n + 1 3 n - 1 ? Assume the divisor is not equal to zero.,1,0.2834961784211768,2.8711646565239577,0:0.1001|1:0.2835|2:0.1064|3:0.1001|4:0.1001|5:0.1001|6:0.1081|7:0.1016
11,math_algebra1_2014,math-algebra1-2014.js,free-response,What is the value of this expression when a = 64 and b = - 5 ? - 2 a 3 + b 2,7,0.30096186116337514,2.750434824297832,0:0.0800|1:0.2189|2:0.0800|3:0.0800|4:0.0800|5:0.0800|6:0.0800|7:0.3010
12,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"When n > 0 , which expression is equivalent to 42 n 9 in simplest form?",1,0.3330061171730955,2.790379798984244,0:0.0946|1:0.3330|2:0.0979|3:0.0946|4:0.0946|5:0.0946|6:0.0946|7:0.0962
13,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at the system of equations. y = - x + 2 7 x + 4 y = - 1 What is the value of x for the solution to this system of equations?,7,0.30774782514794347,2.8336652885398856,0:0.0978|1:0.0978|2:0.0978|3:0.1047|4:0.0978|5:0.0978|6:0.0988|7:0.3077
14,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Pierre solved an inequality as shown. Step 1: - 8 ≥ n + 3 Step 2: - 8 + ( - 3 ) ≥ n + 3 + ( - 3 ) Step 3: - 11 ≥ n + 0 Step 4: - 11 ≥ n What property justifies the work between Step 3 and Step 4?,3,0.17877662923807622,2.9790689552814946,0:0.1080|1:0.1080|2:0.1141|3:0.1788|4:0.1119|5:0.1336|6:0.1163|7:0.1294
15,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which property of real numbers justifies the work shown? 13 x - 1 = ( 12 x + 15 ) + 7 x 13 x - 1 = 7 x + ( 12 x + 15 ),3,0.1710359939508379,2.9833908025742835,0:0.1152|1:0.1051|2:0.1361|3:0.1710|4:0.1090|5:0.1245|6:0.1223|7:0.1169
16,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the slope of the line represented by 1 8 x + 3 y = 3 ?,5,0.16418902717895334,2.9828091155968446,0:0.1103|1:0.1103|2:0.1107|3:0.1423|4:0.1103|5:0.1642|6:0.1402|7:0.1117
17,math_algebra1_2014,math-algebra1-2014.js,free-response,Solve for x: - 2 x + 6 x - 6,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
