source_file,test_id,qid,type,clean_text,raw_text
science-biology-2015.js,science_biology_2015,1,multiple-choice,Red flower color is dominant to white flower color in rose plants. What is the expected result of a cross between two heterozygous rose plants?,"<img src=""images/question_1.png"" class=""question-image""><br><br>Red flower color is dominant to white flower color in rose plants. What is the expected result of a cross between two heterozygous rose plants?"
science-biology-2015.js,science_biology_2015,2,drag-drop,Place the phases of mitosis in the correct sequence.,Place the phases of mitosis in the correct sequence.
science-biology-2015.js,science_biology_2015,3,multiple-choice,"To classify an organism a scientist finds in the field, which of these will the scientist first compare to other known organisms?","To classify an organism a scientist finds in the field, which of these will the scientist first compare to other known organisms?"
science-biology-2015.js,science_biology_2015,4,multiple-choice,"For the growth curve to continue increasing, which of these must occur?","<img src=""images/question_4.png"" class=""question-image""><br><br>For the growth curve to continue increasing, which of these must occur?"
science-biology-2015.js,science_biology_2015,5,multiple-choice,What did Rosalind Franklin contribute to the understanding of DNA molecules?,What did Rosalind Franklin contribute to the understanding of DNA molecules?
science-biology-2015.js,science_biology_2015,6,drag-drop,Some functions of several structures of a fish are listed in the chart. Complete the chart by placing the structures of a cell next to the function they perform.,Some functions of several structures of a fish are listed in the chart. Complete the chart by placing the structures of a cell next to the function they perform.
science-biology-2015.js,science_biology_2015,7,multiple-choice,Darwin's explanation for evolution was dependent on which scientific concept?,Darwin's explanation for evolution was dependent on which scientific concept?
science-biology-2015.js,science_biology_2015,8,multiple-choice,Which best helps scientists determine the age of fossils?,Which best helps scientists determine the age of fossils?
science-biology-2015.js,science_biology_2015,9,multiple-choice,"A student is investigating the effect of plants on indoor air quality and states, ""If plants are added to an indoor environment, the air quality will improve."" This statement is an example of —","A student is investigating the effect of plants on indoor air quality and states, ""If plants are added to an indoor environment, the air quality will improve."" This statement is an example of —"
science-biology-2015.js,science_biology_2015,10,multiple-choice,"Although controversial at first, the germ theory of disease proposed that microorganisms were the cause of many diseases. Which of these was a result of the general acceptance that microorganisms cause disease?","Although controversial at first, the germ theory of disease proposed that microorganisms were the cause of many diseases. Which of these was a result of the general acceptance that microorganisms cause disease?"
science-biology-2015.js,science_biology_2015,11,multiple-choice,A biologist gathered data to show the interaction of the golden-cheeked warbler and juniper tree populations. Which conclusion did the biologist most likely make from the data shown?,"<img src=""images/question_11.png"" class=""question-image""><br><br>A biologist gathered data to show the interaction of the golden-cheeked warbler and juniper tree populations. Which conclusion did the biologist most likely make from the data shown?"
science-biology-2015.js,science_biology_2015,12,multiple-choice,Studying the differences between fossils and modern organisms helps scientists better understand the —,"<img src=""images/question_12.png"" class=""question-image""><br><br>Studying the differences between fossils and modern organisms helps scientists better understand the —"
science-biology-2015.js,science_biology_2015,13,multiple-choice,"This chart shows observations made of an unknown organism. Based on this information, the organism most likely belongs to the kingdom —","<img src=""images/question_13.png"" class=""question-image""><br><br>This chart shows observations made of an unknown organism. Based on this information, the organism most likely belongs to the kingdom —"
science-biology-2015.js,science_biology_2015,14,multiple-choice,What can be concluded from this graph?,"<img src=""images/question_14.png"" class=""question-image""><br><br>What can be concluded from this graph?"
science-biology-2015.js,science_biology_2015,15,multiple-choice,Which statement is an inference based on this information?,"<img src=""images/question_15.png"" class=""question-image""><br><br>Which statement is an inference based on this information?"
science-biology-2015.js,science_biology_2015,16,multiple-choice,The weakness of hydrogen bonds between the bases of DNA allows —,The weakness of hydrogen bonds between the bases of DNA allows —
science-biology-2015.js,science_biology_2015,17,multiple-choice,Which of these would most likely result in a change to the current classification of an organism?,Which of these would most likely result in a change to the current classification of an organism?
science-biology-2015.js,science_biology_2015,18,multiple-select,Select the autotrophs.,Select the autotrophs.
science-biology-2015.js,science_biology_2015,19,multiple-choice,Five species of frogs that live in separate habitats within 5 non-overlapping ranges along the Mississippi River share a common ancestor. Which process is most likely responsible for the formation of these five distinct species?,Five species of frogs that live in separate habitats within 5 non-overlapping ranges along the Mississippi River share a common ancestor. Which process is most likely responsible for the formation of these five distinct species?
science-biology-2015.js,science_biology_2015,20,multiple-choice,Chloroplast process X + H₂O → Y + O₂ The diagram shown represents the input and output of a process performed by the chloroplast of a cell. Which substance is most likely represented by Y?,Chloroplast process<br><u>X</u> + H₂O → <u>Y</u> + O₂<br><br>The diagram shown represents the input and output of a process performed by the chloroplast of a cell. Which substance is most likely represented by Y?
science-biology-2015.js,science_biology_2015,21,multiple-choice,Which statement best describes her hypothesis?,"<img src=""images/question_21.png"" class=""question-image""><br><br>Which statement best describes her hypothesis?"
science-biology-2015.js,science_biology_2015,22,multiple-choice,Seaweeds occupy an important niche in the Chesapeake Bay ecosystem. Which question will best help a student identify the role of seaweeds in this ecosystem?,Seaweeds occupy an important niche in the Chesapeake Bay ecosystem. Which question will best help a student identify the role of seaweeds in this ecosystem?
science-biology-2015.js,science_biology_2015,23,multiple-choice,"In 1950, Erwin Chargaff discovered that the percentage of adenine in DNA equals the percentage of thymine, and that the percentage of cytosine equals the percentage of guanine. This proved invaluable to the eventual discovery of which aspect of DNA?","In 1950, Erwin Chargaff discovered that the percentage of adenine in DNA equals the percentage of thymine, and that the percentage of cytosine equals the percentage of guanine. This proved invaluable to the eventual discovery of which aspect of DNA?"
science-biology-2015.js,science_biology_2015,24,multiple-choice,"The study of embryos and other early stages of development can help in the classification of living things, past and present, by providing clues about the —","The study of embryos and other early stages of development can help in the classification of living things, past and present, by providing clues about the —"
science-biology-2015.js,science_biology_2015,25,drag-drop,Complete the sentences about water molecules by dragging the correct terms to each box.,Complete the sentences about water molecules by dragging the correct terms to each box.
science-biology-2015.js,science_biology_2015,26,multiple-choice,Which characteristic do most adult fungi and plants share?,Which characteristic do most adult fungi and plants share?
science-biology-2015.js,science_biology_2015,27,multiple-choice,"Students use a dissolved oxygen probe during a laboratory activity involving 1,000 mL samples of pond water. The function of the probe is to —","<img src=""images/question_27.png"" class=""question-image""><br><br>Students use a dissolved oxygen probe during a laboratory activity involving 1,000 mL samples of pond water. The function of the probe is to —"
science-biology-2015.js,science_biology_2015,28,free-response,"In a population of 120 oak trees, 25% of the population has oak wilt disease. What is the number of trees in this population that have oak wilt?","In a population of 120 oak trees, 25% of the population has oak wilt disease. What is the number of trees in this population that have oak wilt?"
science-biology-2015.js,science_biology_2015,29,multiple-choice,"An insect called the hemlock woolly adelgid was introduced to a Virginia forest ecosystem. This pest feeds on the nutrients stored inside a hemlock tree, resulting in the death of the tree. Which kind of data would best help a student evaluate the effect of this insect?","An insect called the hemlock woolly adelgid was introduced to a Virginia forest ecosystem. This pest feeds on the nutrients stored inside a hemlock tree, resulting in the death of the tree. Which kind of data would best help a student evaluate the effect of this insect?"
science-biology-2015.js,science_biology_2015,30,multiple-choice,A student wanted to compare the transpiration rates of two different plant species at varying levels of humidity. The results are recorded in the table shown. Each plant group was given the same amount of water and light throughout the investigation. Which procedure should have been performed to prevent error in this investigation?,"<img src=""images/question_30.png"" class=""question-image""><br><br>A student wanted to compare the transpiration rates of two different plant species at varying levels of humidity. The results are recorded in the table shown. Each plant group was given the same amount of water and light throughout the investigation. Which procedure should have been performed to prevent error in this investigation?"
science-biology-2015.js,science_biology_2015,31,multiple-choice,"In an ecosystem, a sudden decrease in the number of bacteria in the soil would most likely result in —","In an ecosystem, a sudden decrease in the number of bacteria in the soil would most likely result in —"
science-biology-2015.js,science_biology_2015,32,multiple-choice,"Medicines are being produced using recombinant DNA technology. For veterinarians, the use of this DNA technology will result in —","Medicines are being produced using recombinant DNA technology. For veterinarians, the use of this DNA technology will result in —"
science-biology-2015.js,science_biology_2015,33,multiple-choice,The arrow in the diagram represents the movement of which molecular structure?,"<img src=""images/question_33.png"" class=""question-image""><br><br>The arrow in the diagram represents the movement of which molecular structure?"
science-biology-2015.js,science_biology_2015,34,multiple-choice,"According to the classification key, what is the genus and species of this organism?","<img src=""images/question_34.png"" class=""question-image""><br><br>According to the classification key, what is the genus and species of this organism?"
science-biology-2015.js,science_biology_2015,35,multiple-choice,The jackrabbit is a desert mammal. The jackrabbit's circulatory system increases blood flow to the ears during hot days. The blood flow to the ears decreases during cool or cold nights. This circulation pattern is most directly related to —,"<img src=""images/question_35.png"" class=""question-image""><br><br>The jackrabbit is a desert mammal. The jackrabbit's circulatory system increases blood flow to the ears during hot days. The blood flow to the ears decreases during cool or cold nights. This circulation pattern is most directly related to —"
science-biology-2015.js,science_biology_2015,36,multiple-choice,Proteins are among the most diverse group of macromolecules because of the —,Proteins are among the most diverse group of macromolecules because of the —
science-biology-2015.js,science_biology_2015,37,multiple-choice,Which is an activity that increases the genetic variation within a population of earthworms?,Which is an activity that increases the genetic variation within a population of earthworms?
science-biology-2015.js,science_biology_2015,38,multiple-choice,The structural differences between a tadpole and an adult frog are due to the —,The structural differences between a tadpole and an adult frog are due to the —
science-biology-2015.js,science_biology_2015,39,multiple-choice,"After 24 hours, the amount of gas that accumulated at the top of the inverted test tube is measured. The students conclude that the light source is causing the water to evaporate, causing water vapor to fill the top of the tube. The best alternative explanation of the differences between the setups is that the —","<img src=""images/question_39.png"" class=""question-image""><br><br>After 24 hours, the amount of gas that accumulated at the top of the inverted test tube is measured. The students conclude that the light source is causing the water to evaporate, causing water vapor to fill the top of the tube. The best alternative explanation of the differences between the setups is that the —"
science-biology-2015.js,science_biology_2015,40,drag-drop,This table was found in a journal of student research. What are the independent and dependent variables in this investigation?,"<img src=""images/question_40.png"" class=""question-image""><br><br>This table was found in a journal of student research. What are the independent and dependent variables in this investigation?"
science-biology-2015.js,science_biology_2015,41,multiple-choice,Scientists classifying modern animals are most likely to compare the —,Scientists classifying modern animals are most likely to compare the —
science-biology-2015.js,science_biology_2015,42,multiple-choice,Which feature do viruses have in common with animal cells?,Which feature do viruses have in common with animal cells?
science-biology-2015.js,science_biology_2015,43,multiple-choice,"According to this diagram, the result of spermatogenesis is four sperm cells, each with —","<img src=""images/question_43.png"" class=""question-image""><br><br>According to this diagram, the result of spermatogenesis is four sperm cells, each with —"
science-biology-2015.js,science_biology_2015,44,multiple-choice,A group of ponies lives in the Chincoteague National Wildlife Reserve in Virginia. The development of longer legs over time would be selected for if —,A group of ponies lives in the Chincoteague National Wildlife Reserve in Virginia. The development of longer legs over time would be selected for if —
science-biology-2015.js,science_biology_2015,45,multiple-choice,One parent is heterozygous for a certain trait (Dd). The other parent is homozygous dominant (DD) for that trait. What is the percent chance that an offspring from this cross will be heterozygous?,One parent is heterozygous for a certain trait (Dd). The other parent is homozygous dominant (DD) for that trait. What is the percent chance that an offspring from this cross will be heterozygous?
science-biology-2015.js,science_biology_2015,46,multiple-choice,Which trial in the table of data shown has questionable data?,"<img src=""images/question_46.png"" class=""question-image""><br><br>Which trial in the table of data shown has questionable data?"
science-chemistry-2015.js,science_chemistry_2015,1,multiple-choice,A student measures the mass of a 1.00 g aluminum rod as 0.99 g. The best estimate of the percent error associated with this measurement is —,A student measures the mass of a 1.00 g aluminum rod as 0.99 g. The best estimate of the percent error associated with this measurement is —
science-chemistry-2015.js,science_chemistry_2015,2,multiple-choice,The most efficient way to determine whether a reaction is an exothermic chemical reaction is to use —,The most efficient way to determine whether a reaction is an exothermic chemical reaction is to use —
science-chemistry-2015.js,science_chemistry_2015,3,multiple-choice,2Al(C₂H₃O₂)₃ + 3Ba(SO₄) → Al₂(SO₄)₃ + 3Ba(C₂H₃O₂)₂ Which type of chemical reaction does this equation represent?,<center>2Al(C₂H₃O₂)₃ + 3Ba(SO₄) → Al₂(SO₄)₃ + 3Ba(C₂H₃O₂)₂</center><br>Which type of chemical reaction does this equation represent?
science-chemistry-2015.js,science_chemistry_2015,4,free-response,What is the oxidation number of an oxide ion?,What is the oxidation number of an oxide ion?
science-chemistry-2015.js,science_chemistry_2015,5,multiple-choice,What is the molarity of a solution with 0.2 moles of potassium permanganate (KMnO₄) dissolved in enough water to make a 500.0 mL solution?,What is the molarity of a solution with 0.2 moles of potassium permanganate (KMnO₄) dissolved in enough water to make a 500.0 mL solution?
science-chemistry-2015.js,science_chemistry_2015,6,multiple-choice,"When 92.0 g of ethanol (C₂H₅OH) are vaporized at its boiling point of 78.3°C, it requires 78.6 kJ of energy. What is the approximate molar heat of vaporization of ethanol in kJ/mol?","When 92.0 g of ethanol (C₂H₅OH) are vaporized at its boiling point of 78.3°C, it requires 78.6 kJ of energy. What is the approximate molar heat of vaporization of ethanol in kJ/mol?"
science-chemistry-2015.js,science_chemistry_2015,7,free-response,What is the density (in g/mL) of an aqueous solution that has a mass of 10.081 g and 12.5 mL? Your answer must use significant digits.,What is the density (in g/mL) of an aqueous solution that has a mass of 10.081 g and 12.5 mL? Your answer must use significant digits.
science-chemistry-2015.js,science_chemistry_2015,8,multiple-choice,"Which element has 16 neutrons, 15 protons, and 15 electrons?","Which element has 16 neutrons, 15 protons, and 15 electrons?"
science-chemistry-2015.js,science_chemistry_2015,9,multiple-choice,Al( s ) + 3AgNO₃( aq ) → Al(NO₃)₃( aq ) + 3Ag( s ) This equation represents which type of chemical reaction?,<center>Al(<i>s</i>) + 3AgNO₃(<i>aq</i>) → Al(NO₃)₃(<i>aq</i>) + 3Ag(<i>s</i>)</center><br>This equation represents which type of chemical reaction?
science-chemistry-2015.js,science_chemistry_2015,10,multiple-choice,"In the formula for barium chloride, (BaCl₂), barium (Ba) is written first because it is —","In the formula for barium chloride, (BaCl₂), barium (Ba) is written first because it is —"
science-chemistry-2015.js,science_chemistry_2015,11,multiple-choice,Which of these laboratory techniques is best to separate a solid from a liquid to recover the liquid?,Which of these laboratory techniques is best to separate a solid from a liquid to recover the liquid?
