nmf_component_id,top_keywords,keyword_weights
0,"paragraph, suggests, students, words, purpose, way, details, heading, according, synonym","3.5000, 0.5640, 0.1915, 0.1708, 0.1456, 0.1414, 0.1186, 0.1091, 0.1026, 0.1000"
1,"likely, wrote, julia, reason, wants, future, would, based, benjamin, end","3.0844, 0.2053, 0.1835, 0.1694, 0.1611, 0.1580, 0.1545, 0.1514, 0.1148, 0.0975"
2,"sentence, read, meaning, example, language, opinion, used, contains, fact, states","1.9629, 0.8088, 0.2422, 0.1993, 0.1842, 0.1789, 0.1635, 0.1587, 0.1312, 0.1290"
3,"story, theme, end, important, conflict, narrator, setting, title, detail, part","2.8423, 0.6030, 0.4168, 0.3181, 0.3145, 0.1544, 0.1486, 0.1457, 0.1257, 0.1144"
4,"word, means, root, used, synonym, comes, read, entry, meaning, choice","2.7592, 1.6022, 0.5015, 0.3085, 0.3025, 0.2894, 0.2564, 0.2310, 0.2032, 0.1276"
5,"based, reader, may, determine, tell, first, understand, sea, article, helps","1.4238, 1.0996, 0.4578, 0.3376, 0.3205, 0.2213, 0.1633, 0.1547, 0.1168, 0.0888"
6,"idea, main, supports, conflict, people, section, states, space, fact, effect","1.5064, 1.3440, 0.2148, 0.1801, 0.1789, 0.1196, 0.1101, 0.0918, 0.0794, 0.0706"
7,"poem, speaker, lines, narrator, theme, line, show, tone, suggests, summary","1.7259, 1.0148, 0.7710, 0.1439, 0.1383, 0.1085, 0.1066, 0.1014, 0.0965, 0.0808"
8,"best, described, heading, summary, would, describes, statement, may, shows, entry","2.1283, 0.3426, 0.3363, 0.3280, 0.2834, 0.2274, 0.2200, 0.1700, 0.1659, 0.1288"
9,"author, includes, include, paragraphs, use, uses, wrote, suggest, sentences, order","2.0617, 0.3583, 0.3335, 0.2553, 0.2541, 0.2133, 0.1959, 0.1182, 0.1072, 0.1063"
10,"question, answered, section, first, end, trip, poem, one, benjamin, activity","1.3820, 1.2931, 0.2008, 0.1691, 0.0962, 0.0637, 0.0555, 0.0517, 0.0404, 0.0398"
11,"mean, word, message, line, title, paragraph, section, flier, visitors, example","1.7823, 0.1765, 0.1385, 0.1158, 0.1095, 0.0918, 0.0773, 0.0701, 0.0591, 0.0346"
12,"selection, purpose, supports, first, details, example, described, mainly, figurative, suggest","1.7119, 1.2327, 0.4502, 0.1515, 0.1174, 0.1158, 0.1091, 0.1085, 0.1063, 0.0980"
13,"information, would, section, included, summary, useful, organized, coral, detail, using","1.4604, 0.7093, 0.6937, 0.4405, 0.4232, 0.2726, 0.1931, 0.1653, 0.1414, 0.1340"
14,"article, according, opinion, wrote, based, sea, visitors, time, activity, helps","1.7242, 0.7485, 0.1605, 0.1418, 0.1350, 0.1169, 0.0998, 0.0863, 0.0834, 0.0711"
